parameter_name,Alkaline phosphatase
gene_symbol,Kif24
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
gene_accession_id,MGI:1918345
pvalue,0.2659528
mouse_strain,C57BL
analysis_id,00974cl53e8z2z1
