parameter_name,Alkaline phosphatase
gene_symbol,Steap3
mouse_life_stage,Early adult
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
pvalue,0.5089149
gene_accession_id,MGI:1915678
analysis_id,wss1457a49qk6v4
