parameter_name,LVIDd
gene_accession_id,MGI:1919137
pvalue,0.7913756
parameter_id,IMPC_ECH_008_001
mouse_strain,C53BL
analysis_id,b905z2494461209
gene_symbol,Ppm1j
mouse_life_stage,Early adult
