gene_symbol,Ahctf1
pvalue,0.6072644
parameter_id,MGP_IMM_027_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,2brdp263upq6kd9
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1915033
