parameter_name,Chloride
gene_symbol,Lurap1
mouse_strain,C57BL
parameter_id,HMGULA_CBC_003_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
analysis_id,0qnir56gut03te0
pvalue,0.8518713
