gene_symbol,Lime1
analysis_id,i73vla0x77do68f
mouse_strain,C57BL
parameter_name,Tibia length
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
pvalue,0.9128691
parameter_id,TCPLA_XRY_033_001
