parameter_name,Pericardium Morphology
parameter_id,IMPC_GEL_006_001
gene_accession_id,MGI:3650254
analysis_id,240p338o595o5fc
mouse_strain,C57BL
pvalue,0.548804
gene_symbol,Zfp683
mouse_life_stage,Early adult
