parameter_name,Cornea
pvalue,0.3288286
gene_symbol,Fgb
analysis_id,q0863g32h1p22k4
parameter_id,IMPC_EYE_007_001
mouse_strain,C57BL
gene_accession_id,MGI:99501
mouse_life_stage,Early adult
