analysis_id,uu92xcqn52qv2ta
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of Treg
parameter_id,MGP_IMM_011_001
pvalue,0.2866236
mouse_life_stage,Late adult
