parameter_id,JAXLA_OFD_017_001
mouse_life_stage,E12.5
pvalue,0.1618454
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
analysis_id,812oj2y57m4e491
mouse_strain,C57BL
parameter_name,Center average speed
