analysis_id,509j90oejb7c82y
mouse_life_stage,Early adult
gene_symbol,Trpa1
parameter_id,IMPC_EYE_001_001
mouse_strain,C57BL
parameter_name,Eye
gene_accession_id,MGI:3522699
pvalue,0.5132162
