parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:1921688
parameter_name,Mean-cell-volume
mouse_strain,C52BL
analysis_id,8lt39sy9226s580
mouse_life_stage,Early adult
gene_symbol,Clvs1
pvalue,0.4148344
