parameter_name,HDL-cholesterol
gene_accession_id,MGI:2385884
analysis_id,o0j88512b30x89o
pvalue,0.7679787
parameter_id,HMGULA_CBC_016_001
gene_symbol,Ddx27
mouse_life_stage,Early adult
mouse_strain,C57BL
