gene_symbol,Dhdds
parameter_id,IMPC_XRY_059_001
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
pvalue,0.5413713
parameter_name,Shape of ribcage
analysis_id,x4245307f9uk044
mouse_strain,C57BL
