analysis_id,7e3k3p661km6u06
mouse_strain,C57BL
gene_accession_id,MGI:1916220
parameter_name,Snout size
mouse_life_stage,Early adult
parameter_id,MGP_CSD_067_001
pvalue,0.3986453
gene_symbol,Dcaf12
