analysis_id,2axq63002am95ht
mouse_strain,C57BL
parameter_name,Coat - hair distribution - back
pvalue,0.4776906
mouse_life_stage,Early adult
gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
parameter_id,IMPC_CSD_011_001
