analysis_id,q8jq59yu0897zhn
pvalue,0.3426545
gene_accession_id,MGI:1931749
parameter_id,HRWLLA_CSD_008_001
mouse_strain,C57BL
gene_symbol,Pum1
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
