gene_symbol,Slc39a10
mouse_strain,C57BL
pvalue,0.8806775
parameter_name,CD11b-high cDC - % of cDC
gene_accession_id,MGI:1914515
mouse_life_stage,Early adult
analysis_id,h249z6l2oy2sayv
parameter_id,MGP_IMM_066_001
