analysis_id,18b2pc3pt29301k
mouse_strain,C57BL
pvalue,0.2364509
gene_symbol,Ppm1j
parameter_name,Transitional 1 B cells - % of CD45+
gene_accession_id,MGI:1919137
parameter_id,MGP_IMM_110_001
mouse_life_stage,Early adult
