analysis_id,1qb9z7268xz5jax
pvalue,0.6321347
parameter_name,Corneal vascularization
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_EYE_009_001
