parameter_name,Calcium
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
mouse_strain,C57BL
analysis_id,61go620m5ha590p
parameter_id,IMPC_CBC_009_001
pvalue,0.4699936
mouse_life_stage,Early adult
