parameter_id,IMPC_HEM_005_001
pvalue,0.5054375
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,n63dle5in8a6616
parameter_name,Mean cell volume
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
