gene_symbol,Il1r1
pvalue,0.8107256
analysis_id,z56j8r9t19q9sj4
mouse_life_stage,Early adult
gene_accession_id,MGI:96545
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_MLN_001_001
mouse_strain,C57BL
