analysis_id,s2j78w0d7u9vh7d
gene_symbol,AU040320
mouse_life_stage,Early adult
parameter_name,30kHz-evoked ABR Threshold
pvalue,0.5040566
parameter_id,IMPC_ABR_012_001
gene_accession_id,MGI:2140475
mouse_strain,C57BL
