mouse_life_stage,Late adult
parameter_id,JAX_OFD_017_001
analysis_id,yr4s0122r5wsrm8
parameter_name,Center average speed
mouse_strain,C57BL
gene_symbol,Snap23
gene_accession_id,MGI:109356
pvalue,0.8628303
