gene_symbol,Rgs20
gene_accession_id,MGI:1929866
analysis_id,7ve6x86vtk9zh83
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.2075455
parameter_id,MGP_IMM_071_001
