parameter_name,Spleen weight
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4549037
parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
analysis_id,02q321u5u44i7wy
