analysis_id,cuzt52xw2zv74fx
mouse_strain,C57BL
parameter_id,MGP_MLN_093_001
gene_symbol,Slc30a4
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.6412967
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
