parameter_name,Vibrissae - presence
gene_symbol,Frmpd1
analysis_id,08dy2341y6fd47y
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_023_001
pvalue,0.8769171
