analysis_id,82png23q8w6c105
mouse_strain,C57BL
gene_accession_id,MGI:97838
pvalue,0.5820103
gene_symbol,Eprs1
parameter_name,Fat/Body weight
mouse_life_stage,E12.5
parameter_id,JAXLA_DXA_009_001
