parameter_name,Mean-cell-volume
mouse_strain,C57BL
gene_accession_id,MGI:894679
analysis_id,7v700rc00u1d0zv
pvalue,0.2945065
parameter_id,M-G-P_016_001_005
mouse_life_stage,Early adult
gene_symbol,Bach2
