gene_symbol,Tiprl
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,39o3u00794c2e86
parameter_id,UCD_OWT_008_001
pvalue,0.1158398
gene_accession_id,MGI:1915087
parameter_name,Liver weight
