parameter_name,Embryo Size
mouse_strain,C57BL
pvalue,1.063133
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
analysis_id,8j8cl608u39p092
gene_symbol,Ddx27
parameter_id,IMPC_GEL_032_001
