parameter_name,Red blood cell count
gene_accession_id,MGI:1924054
parameter_id,ESLIM_016_001_002
analysis_id,23j483wi60q845z
mouse_life_stage,Early adult
pvalue,0.6158133
mouse_strain,C57BL
gene_symbol,Kdm4c
