gene_symbol,Arpc2
pvalue,0.1938134
gene_accession_id,MGI:1923959
mouse_strain,C58BL
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_013
parameter_name,Startle response
analysis_id,02092biy20n0ri5
