gene_symbol,Fgb
analysis_id,ooq7077v0d1x25r
pvalue,0.9544908
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_032_001
gene_accession_id,MGI:99501
parameter_name,Effector NK cells - % of NK cells
