parameter_name,Triglycerides
gene_symbol,Zmynd8
analysis_id,ttd4kux31ma235c
pvalue,0.9387017
mouse_strain,129SV
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_017_001
