parameter_name,Ventral coat/hair presence
gene_symbol,Snap23
mouse_strain,C57BL
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
pvalue,0.9221279
parameter_id,MGP_CSD_025_001
analysis_id,xy8cxf182omndui
