analysis_id,4m30w8k41815757
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
gene_symbol,Steap3
parameter_name,LVIDd
pvalue,0.4384692
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
