gene_symbol,Car13
parameter_id,IMPC_ABR_008_001
parameter_name,18kHz-evoked ABR Threshold
mouse_life_stage,Early adult
pvalue,0.5993129
analysis_id,13z6gz05q006b41
mouse_strain,C57BL
gene_accession_id,MGI:1931322
