parameter_name,cDCs CD11b Type
mouse_strain,C57BL
gene_symbol,Arpc5l
parameter_id,IMPC_IMM_073_001
analysis_id,mr890tdqe21isl7
pvalue,0.5948286
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
