analysis_id,665i863r1iun15z
parameter_id,IMPC_GEL_057_001
pvalue,0.4765172
mouse_life_stage,Late adult
gene_symbol,Secisbp2l
parameter_name,Heart looping
gene_accession_id,MGI:1917604
mouse_strain,C57BL
