gene_symbol,Dmap1
pvalue,0.8324545
analysis_id,796n8xoo7k3008e
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
gene_accession_id,MGI:1913483
mouse_strain,C57BL
parameter_id,IMPC_DXA_007_001
