parameter_name,Aspartate aminotransferase
analysis_id,2od01rm7185p708
mouse_strain,C57BL
gene_accession_id,MGI:1913576
parameter_id,IMPC_CBC_012_001
gene_symbol,Dnajc5b
mouse_life_stage,Early adult
pvalue,0.8163367
