parameter_name,Stroke Volume
analysis_id,n1v58555018fmf9
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECH_003_001
gene_symbol,Cdin1
pvalue,0.9906676
