analysis_id,g404sj03c64xy90
parameter_name,Effector Treg cells - % of Treg
mouse_strain,C57BL
parameter_id,MGP_IMM_010_001
gene_accession_id,MGI:1919949
pvalue,0.4634981
mouse_life_stage,Early adult
gene_symbol,Lime1
