parameter_id,JAX_ROT_002_001
gene_accession_id,MGI:1914309
pvalue,0.3782934
gene_symbol,Ola1
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_name,Average duration
analysis_id,6jl53ifddxc54ci
