analysis_id,12r2yb4f3tt9ml5
gene_symbol,Hpca
parameter_name,Joints
gene_accession_id,MGI:1336200
parameter_id,IMPC_XRY_027_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,0.4752521
