gene_symbol,Extl1
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
parameter_name,Thoracic processes
mouse_strain,C57BL
analysis_id,8p249835p47v4gn
parameter_id,IMPC_XRY_064_001
pvalue,0.1768827
