parameter_name,Total food intake
gene_symbol,Fgb
pvalue,0.9897817
gene_accession_id,MGI:99501
analysis_id,5gcn72l656lo4ke
mouse_strain,C57BL
parameter_id,IMPC_CAL_008_001
mouse_life_stage,E12.5
