gene_symbol,ARNT
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
pvalue,0.8971568
parameter_id,HRWLLA_CBC_014_001
analysis_id,u5bq19p0vh22yq0
mouse_strain,C57BL
gene_accession_id,MGI:88071
