analysis_id,69045fti957p5d0
mouse_strain,C57BL
parameter_id,JAX_OFD_021_001
mouse_life_stage,Early adult
parameter_name,Number of rears - total
pvalue,0.5385824
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
