gene_symbol,Amigo1
mouse_strain,C57BL
pvalue,0.4064789
parameter_id,MGP_PBI_031_001
parameter_name,KLRG1+ mature NK cell number
mouse_life_stage,Early adult
analysis_id,x4kl1b624512k2u
gene_accession_id,MGI:2653612
