analysis_id,kymt914l9kbsj4x
gene_symbol,Col6a3
pvalue,0.4588385
mouse_strain,C57BL
parameter_name,T cells - % of CD45+
parameter_id,MGP_BMI_019_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
