analysis_id,2785c09jolt6fs5
gene_symbol,Kdm5b
parameter_id,M-G-P_005_001_004
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
parameter_name,Bone Mineral Density (excluding skull)
mouse_strain,C57BL
pvalue,0.3838503
