parameter_name,Fat mass
mouse_strain,C57BL
pvalue,0.829603
gene_symbol,Dhdds
parameter_id,IMPC_DXA_002_001
mouse_life_stage,Early adult
analysis_id,mh341241t3y8oad
gene_accession_id,MGI:1914672
