parameter_name,Total bilirubin
gene_symbol,Rab13
pvalue,0.8995796
gene_accession_id,MGI:1927232
mouse_strain,C57BL
analysis_id,0r61d48jbl35n2q
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_008_001
