gene_symbol,Mov10
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
parameter_id,MGP_MLN_063_001
pvalue,0.5888665
mouse_strain,C57BL
analysis_id,27wgad2l1332r94
