parameter_name,Total holepokes
parameter_id,JAXLA_HBD_001_001
gene_symbol,Gja10
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5331071
gene_accession_id,MGI:1339969
analysis_id,p1963904h4uy19d
