analysis_id,7aygxo283524f9u
parameter_id,MGP_CSD_064_001
pvalue,0.5044594
gene_symbol,Fgb
parameter_name,Head morphology
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
mouse_strain,C57BL
