analysis_id,fbwsw3g26ajy9wv
parameter_name,Distance travelled - total
gene_symbol,Cntfr
gene_accession_id,MGI:99605
pvalue,0.4088891
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_020_001
