gene_symbol,Dnaaf9
parameter_name,Triglycerides
mouse_strain,C57BL
parameter_id,HMGULA_CBC_017_001
pvalue,0.9013478
mouse_life_stage,Early adult
analysis_id,w01vxi71u5ev9z7
gene_accession_id,MGI:1923029
