parameter_name,Vibrissae - appearance
gene_symbol,Sprr1b
mouse_life_stage,Early adult
parameter_id,HMGULA_DYS_024_001
pvalue,0.7542912
mouse_strain,C57BL
gene_accession_id,MGI:106659
analysis_id,wowqbz70c5i42nv
