parameter_name,Cornea
gene_symbol,Ints7
parameter_id,IMPC_EYE_007_001
gene_accession_id,MGI:1924315
pvalue,0.07772817
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,p9hq977217k3499
